entry_dir,checkpoint,dataset_type,main_task_type,degrade_type,count,psnr_mean,psnr_std,ssim_mean,ssim_std
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0004000,AAPM-CT-MAR_test,metal artifact reduction,metal artifact,1000,28.178072579959284,3.7336694479214296,0.7412737955056061,0.11330232822020982
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0004000,AMIR_CT_Low-Dose_CT_denoising_test,Low-Dose CT denoising,low-dose noise,211,32.904932730031916,6.099207736397392,0.8870738227332943,0.059863305258581766
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0004000,AMIR_MRI_super-resolution_test,super-resolution,low resolution,1000,23.827261205896583,3.4052465023125835,0.7965872937247551,0.11330636762947176
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0004000,AMIR_PET_low-dose_PET_denoising_test,low-dose PET denoising,low-dose noise,1000,22.241923233987166,4.256611997294434,0.7609682702190089,0.0945101780449079
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0004000,UDPET_test,low-dose denoising,low-dose noise,1000,28.276455407368083,5.282553223076955,0.951172365589139,0.04518027017754489
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0004000,ixi_t1_sr_4x_test,motion_correction,motion,87,27.84242963760951,2.7474206869691,0.8933428939149073,0.034534761081732895
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0004000,ixi_t1_sr_4x_test,denoising,noise,102,25.969599750892414,1.6985936153117558,0.8005037912725207,0.04597974605678329
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0004000,ixi_t1_sr_4x_test,accelerating_mri,undersampling,114,26.723745098322787,1.9049688922097407,0.8460137657613437,0.03348492144868643
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0004000,ixi_t2_sr_4x_test,motion_correction,motion,86,26.96123745396311,6.046040703255291,0.8286843673671855,0.19260299627382776
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0004000,ixi_t2_sr_4x_test,denoising,noise,85,26.394816848048457,1.479709391780511,0.856746646453945,0.034978245186485665
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0004000,ixi_t2_sr_4x_test,accelerating_mri,undersampling,99,28.217126769796646,0.9046389075139051,0.8769093695696996,0.03409355756382905
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0004000,mr_art_motion_correction_test,motion_correction,motion,1000,21.12825257467485,2.5667871170647496,0.719312719825842,0.09411296131556757
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0004000,real_fundus_restoration_test,fundus_restoration,low quality fundus image,12,25.06104114297686,4.187643548080022,0.7932078137187061,0.027100962478617478
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0004000,refuge_restoration_test,fundus_restoration,blur,159,24.469989321306212,6.876294505350693,0.8127708099969998,0.09010644594711781
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0004000,refuge_restoration_test,fundus_restoration,blur+illumination,140,23.89728140379347,6.308499710251118,0.8259526928318024,0.07964544091052532
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0004000,refuge_restoration_test,fundus_restoration,blur+illumination+spot,137,24.488183994534833,6.799259192614282,0.8189994762635547,0.08590059528812856
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0004000,refuge_restoration_test,fundus_restoration,blur+spot,149,23.55444199645949,6.334281315067331,0.8104542227127525,0.0811224204100138
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0004000,refuge_restoration_test,fundus_restoration,illumination,130,23.840059740500028,6.616027542180879,0.8206092199911293,0.08377619106380267
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0004000,refuge_restoration_test,fundus_restoration,illumination+spot,141,24.263691128767714,6.488571477634148,0.8063579530167887,0.085439363806142
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0004000,refuge_restoration_test,fundus_restoration,spot,144,23.65669855482694,6.195373911717485,0.8085517849501023,0.08473757126496327
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0008000,AAPM-CT-MAR_test,metal artifact reduction,metal artifact,1000,34.36091563994718,3.58522279455021,0.8786512987844332,0.06619649324033526
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0008000,AMIR_CT_Low-Dose_CT_denoising_test,Low-Dose CT denoising,low-dose noise,211,34.68594231604066,5.48282299627263,0.8885601911302787,0.06688086257072248
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0008000,AMIR_MRI_super-resolution_test,super-resolution,low resolution,1000,24.645919095513307,3.1652448722949766,0.8281139469632833,0.09794136902296514
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0008000,AMIR_PET_low-dose_PET_denoising_test,low-dose PET denoising,low-dose noise,1000,23.13153926874716,4.414416340307503,0.7797327515160839,0.08382494769476723
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0008000,UDPET_test,low-dose denoising,low-dose noise,1000,28.677697764039667,5.441395631387757,0.9458132797950592,0.08143416995016076
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0008000,eyeq_restoration_test,fundus_restoration,blur,148,27.785252933747568,6.030027845735921,0.80992697550019,0.07664483725332741
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0008000,eyeq_restoration_test,fundus_restoration,blur+illumination,139,19.154546538746235,2.627345372294284,0.7206698735454015,0.0573772541327823
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0008000,eyeq_restoration_test,fundus_restoration,blur+illumination+spot,147,19.06446739463785,2.556957968513454,0.7184032625989637,0.059597418202405314
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0008000,eyeq_restoration_test,fundus_restoration,blur+spot,154,28.02061965024275,5.91826953388241,0.8168176934975557,0.0794208896043303
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0008000,eyeq_restoration_test,fundus_restoration,illumination,137,17.982172830646732,2.442822683693679,0.8126221253617749,0.05171325533525349
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0008000,eyeq_restoration_test,fundus_restoration,illumination+spot,144,18.105949594176728,2.6727783886098404,0.809341806824807,0.0532687678588904
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0008000,eyeq_restoration_test,fundus_restoration,spot,131,30.824641251682497,8.934822760038582,0.8793221322687447,0.08319012362971429
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0008000,ixi_t1_sr_4x_test,motion_correction,motion,87,28.795081259521552,3.912677282546346,0.8951673502132541,0.08787914272027078
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0008000,ixi_t1_sr_4x_test,denoising,noise,102,26.050364246911922,1.6846158898896397,0.8059375798347276,0.04526046919362677
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0008000,ixi_t1_sr_4x_test,accelerating_mri,undersampling,114,28.00661821893039,2.7276313668837266,0.8586635705921017,0.08497542093245827
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0008000,ixi_t2_sr_4x_test,motion_correction,motion,86,24.49553884210367,8.18988932486069,0.7434756768109743,0.2651203482298919
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0008000,ixi_t2_sr_4x_test,denoising,noise,85,27.057479725924473,1.384776673355638,0.8613418591271382,0.03223116999118172
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0008000,ixi_t2_sr_4x_test,accelerating_mri,undersampling,99,28.06440398076966,3.2276201525965393,0.8632231486763533,0.09576760636222602
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0008000,mr_art_motion_correction_test,motion_correction,motion,1000,21.168475997041245,2.5636794020316156,0.7227398898112023,0.09460663817146397
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0008000,real_fundus_restoration_test,fundus_restoration,low quality fundus image,12,16.530405464978852,3.3633162629026105,0.7132675261009657,0.051434855257292765
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0008000,refuge_restoration_test,fundus_restoration,blur,159,24.542719178614945,6.790592385111243,0.8298404189422203,0.06879439105048593
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0008000,refuge_restoration_test,fundus_restoration,blur+illumination,140,24.245757548083365,7.248091042811854,0.8317398099525978,0.07227077458960728
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0008000,refuge_restoration_test,fundus_restoration,blur+illumination+spot,137,24.591986881625164,7.351168134282738,0.8250597344585819,0.07815182491069458
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0008000,refuge_restoration_test,fundus_restoration,blur+spot,149,24.06649598449271,6.53276039395064,0.8277367278479024,0.06774090027944982
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0008000,refuge_restoration_test,fundus_restoration,illumination,130,24.555994021971976,7.440513189423798,0.8325351273319628,0.07325360770284943
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0008000,refuge_restoration_test,fundus_restoration,illumination+spot,141,25.041898397287152,6.802606184946039,0.825613424357235,0.06617993331778582
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0008000,refuge_restoration_test,fundus_restoration,spot,144,24.184557070177387,6.924372480852525,0.8231462221571095,0.07255677044624786
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0008000,xray-bone-shadow-suppression_test,bone shadow suppression,bone shadow,816,16.962192103071587,4.696095580934737,0.7948654479725624,0.10802994523703607
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0012000,AAPM-CT-MAR_test,metal artifact reduction,metal artifact,1000,35.84610659823365,3.6400302245286125,0.8901409130372581,0.06260484524436698
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0012000,AMIR_CT_Low-Dose_CT_denoising_test,Low-Dose CT denoising,low-dose noise,211,35.22224622755191,5.565926512049116,0.8906545491267671,0.0677560824105089
stage1_test_1000_ver1,stage1_medq_2nodes_unif_combined_v1_0012000,AMIR_MRI_super-resolution_test,super-resolution,low resolution,1000,22.63613542620053,5.221595557316728,0.7620260489857549,0.17856437464969016
